title,content,date,url,author,domain,categories
Electric Vehicle Population Data,State of Washington — This dataset shows the Battery Electric Vehicles (BEVs) and Plug-in Hybrid Electric Vehicles (PHEVs) that are currently registered through Washington State Department...,2025-07-19,https://catalog.data.gov/dataset/electric-vehicle-population-data,data.gov,catalog.data.gov,"bev, bevs, bolt, car, cars, chevrolet, chevy, clean-energy, department-of-licensing, dol, dol_open_data, electric, energy, environment, ev, evs, green-report, hybrid, hybrids, leaf, model-3, nhtsa, nissan, phev, phevs, plug-in, plug-ins, population, rao_ev, rao_open_data, rao_veh, tesla, vehicle, vehicles, volt"
Dynamic Small Business Search (DSBS),"Small Business Administration — The Small Business Administration maintains the Dynamic Small Business Search (DSBS) database. As a small business registers in the System for Award Management, there...",2025-07-19,https://catalog.data.gov/dataset/dynamic-small-business-search-dsbs-4f0da,data.gov,catalog.data.gov,"business-name, company-name, organization-name"
Supply Chain Greenhouse Gas Emission Factors v1.3 by NAICS-6,"U.S. Environmental Protection Agency — The datasets comprise greenhouse gas (GHG) emission factors (Factors) for 1,016 U.S. commodities as defined by the 2017 version of the North American Industry...",2025-07-19,https://catalog.data.gov/dataset/supply-chain-greenhouse-gas-emission-factors-v1-3-by-naics-6,data.gov,catalog.data.gov,"climate-change, ghg-reporting, industry-ghgs, scope-3, useeio"
Border Crossing Entry Data,Department of Transportation — The Bureau of Transportation Statistics (BTS) Border Crossing Data provide summary statistics for inbound crossings at the U.S.-Canada and the U.S.-Mexico border at...,2025-07-19,https://catalog.data.gov/dataset/border-crossing-entry-data-683ae,data.gov,catalog.data.gov,"buses, canada, containers, inbound-border-cros..., mexico, passengers, pedestrians, personal-vehicles, ports, trains, trucks"
Warehouse and Retail Sales,Montgomery County of Maryland — This dataset contains a list of sales and movement data by item and department appended monthly. Update Frequency : Monthly,2025-07-19,https://catalog.data.gov/dataset/warehouse-and-retail-sales,data.gov,catalog.data.gov,"alcohol, liquor, sale"
Crime Data from 2020 to Present,"City of Los Angeles — Starting on March 7th, 2024, the Los Angeles Police Department (LAPD) will adopt a new Records Management System for reporting crimes and arrests. This new system is...",2025-07-19,https://catalog.data.gov/dataset/crime-data-from-2020-to-present,data.gov,catalog.data.gov,"crime, crime-data, crimes, lapd, police, safe-city"
NHIS Adult Summary Health Statistics,U.S. Department of Health & Human Services — Interactive Summary Health Statistics for Adults provide annual estimates of selected health topics for adults aged 18 years and over based on final data from the...,2025-07-19,https://catalog.data.gov/dataset/nhis-adult-summary-health-statistics-b5ce9,data.gov,catalog.data.gov,"nhis, summary-health-statistics"
Monthly Rates of Laboratory-Confirmed COVID-19 Hospitalizations from the COVID-NET Surveillance System,"U.S. Department of Health & Human Services — The Coronavirus Disease 2019 (COVID-19) Hospitalization Surveillance Network (COVID-NET) a network that conducts active, population-based surveillance for laboratory-...",2025-07-19,https://catalog.data.gov/dataset/monthly-rates-of-laboratory-confirmed-covid-19-hospitalizations-from-the-covid-net-surveil,data.gov,catalog.data.gov,"covid, covid-19, covid-net, covid19, covidnet, hospitalization-rate, hospitalizations, rate, rates-by-age-group, rates-by-race-and-ethnicity, resp-net, respiratory-disease, respiratory-illness, respiratory-virus-response, respnet, surveillance"
Lottery Powerball Winning Numbers: Beginning 2010,State of New York — Go to http://on.ny.gov/1GpWiHD on the New York Lottery website for past Powerball results and payouts.,2025-07-19,https://catalog.data.gov/dataset/lottery-powerball-winning-numbers-beginning-2010,data.gov,catalog.data.gov,"new-york-lottery, powerball, results, winning"
Civil Rights Data Collection (CRDC) for the 2017-18 school year,"Department of Education — The Civil Rights Data Collection, 2017-18 (CRDC 2017-18) is part of the Civil Rights Data Collection (CRDC) program; program data are available beginning with the...",2025-07-19,https://catalog.data.gov/dataset/civil-rights-data-collection-crdc-for-the-2017-18-school-year,data.gov,catalog.data.gov,"civil-rights, discrimination, elementary-and-secondary, enrollment-demographics, language, minority-groups, office-for-civil-rights-ocr, race, student-retention, students"
