title,content,date,url,author,domain,categories
The Thrill Of Traveling To Iraq,"*For the past 10 days, I’ve been backpacking through Iraqi Kurdistan, a semi-autonomous region in the north of Iraq. For five of those days I was joined by Anil Polat ofFoxNomad.com, a fellow adventurer and a most hilarious traveling companion. I have a lot to write about my time in Iraq and so much has happened that I find it quite difficult to actually organize my thoughts. So in the meantime, I’m just going to write whatever comes to mind, and I hope you’ll excuse me for the randomness that may result! At the end of the day, I can speak of human interactions, life lessons and that first-hand education that travel provides all I want, but I’ll be completely honest with you, there’s something else that excites me even more than any of these aspects of travel. Over the years, I’ve discovered that my happiness reaches its highest peaks...","December 9th, 2010",https://wanderingearl.com/the-thrill-of-traveling-to-iraq/,Derek,wanderingearl.com,Travel
I Bought A Zoo While Traveling In Mexico,"I don’t buy much while traveling. After all, I don’t have a house or an apartment to call my own and so, where would I put things if I bought them? I’m certainly not going to lug everything around with me everywhere I go and at the same time, I usually don’t see the point of buying something only to put it in storage. With that said, over the past 13 years, there have certainly been times when I simply couldn’t resist. I saw something and I wanted it and even though I knew that it was going to end up in thatone box I have in a closetat my mom’s place in the US, there was no stopping me. And that, my friends, is how I ended up buying azoowhile in Oaxaca, Mexico just a few days ago. Yup. I bought a zoo, sort of. While wandering around the...","March 29th, 2013",https://wanderingearl.com/i-bought-a-zoo-while-traveling-in-mexico/,Derek,wanderingearl.com,Travel
Should Travel Warnings Stop Us From Traveling?,"Right now I’m actually in the stages of deciding where my next adventure will take me, and as a result, it was only natural that I check the US Department of State’s Travel Warning website. This is generally how I begin any of my travel planning, not in order to learn which countries I should circumvent, but quite the opposite, to learn which regions I should consider visiting. A few months ago, I wrote a post about the growing misconception that Mexico is adangerous destinationthat should be avoided by travelers. So when I checked the Travel Warning website today, it came as no surprise to find Mexico listed right there after Mali and Mauritania as places to avoid, despite the fact that the closest I’ve come to any danger during my seven months of living down here was when I encountered this thing below while on the beach. And it...","April 7th, 2010",https://wanderingearl.com/should-travel-warnings-stop-us-from-traveling/,Derek,wanderingearl.com,Travel
"How to Enjoy a Rewarding Vacation to Orlando, Florida","Orlando, Florida is a great vacation destination for couples, families and more that want to enjoy theme parks, beaches, nature and a wide variety of entertainment. Located in the heart of Florida, Orlando is actually home to more than 50 theme parks and attractions spread across almost 4,000 square miles. With so many things to do, it’s hard to know where to start and planning a trip here can be overwhelming. The good news is that there is something for everyone and with such a diverse range of available activities, it’s difficult not to have a rewarding visit to this destination. Here’s a list of some of the best ways to enjoy your vacation in Orlando… Disney World is the most popular theme park in the world, and it’s easy to see why. There are four parks: Magic Kingdom, Epcot, Hollywood Studios and Animal Kingdom. Each of these theme parks...","January 27th, 2023",https://wanderingearl.com/how-to-enjoy-rewarding-vacation-orlando-florida/,Derek,wanderingearl.com,Travel
The International Towing and Recovery Museum. I Loved It.,"I saw the sign on the side of the highway as I rolled into the small city of Chattanooga. Two days later, I drove past the sign again. I saw it a third time when I tried to find a gas station the next day. And each time I saw the sign, I shook my head, admittedly, with some internal laughter at what I thought was a silly, silly idea for a museum. Today, I stand, or sit, here before you and with a straight face and a renewed appreciation for life’s surprises, I declare that I was wrong. What seemed like a museum worth ignoring proved to be a museum well worth visiting. Of none other do I speak than theInternational Towing and Recovery Museumin Chattanooga, Tennessee. Actually, let’s be official. The full name is theInternational Towing and Recovery Hall of Fame and Museum. While I still feel strongly...","August 30th, 2018",https://wanderingearl.com/international-towing-and-recovery-museum/,Derek,wanderingearl.com,Travel
A Recap Of My Wander Across Mexico Tour,"Yesterday, my secondWandering Earl Tourcame to an end. And I must say, it was a strange feeling to say goodbye to another group of splendid people, people whom I was fortunate to get to know quite well over the past two weeks. I would absolutely love to continue traveling with everyone, to continue sharing experiences, to continue engaging in interesting conversations and to continue learning about each other and the places we visit. But of course, such a trip must finish eventually and after fifteen days of wandering across Mexico, from the beaches of the Caribbean coast all the way to the central state of Oaxaca, while stopping in a variety of destinations along the way, the time has come to part ways with this group of ten fellow travelers. However, in order to keep the memories alive (and to provide others with what I think is a great itinerary...","March 27th, 2013",https://wanderingearl.com/recap-of-my-wander-across-mexico-tour/,Derek,wanderingearl.com,Travel
My Time in Delhi,"“Really?” That one word is the most typical response I hear whenever I explain to a fellow traveler that I enjoy spending time in Delhi, India. And usually, such travelers throw in an “I just don’t get it” or “I don’t see the appeal” or “Are you crazy?” as well, finding it extremely difficult to comprehend how I could possibly like this city of thirteen million people. I don’t know. I like Delhi. I’ve spent a great deal of time in this city over the years and it quickly became one of my favorite destinations in this country. This is a city where I can wander through the chaotic lanes and alleys shooting off ofChandni Chowk, the never-ending market area in the heart of Old Delhi. It’s all about walking slow as I peer into shops selling everything that has ever been created on this planet, from wedding supplies to...","January 8th, 2021",https://wanderingearl.com/my-time-in-delhi/,Derek,wanderingearl.com,Travel
Video: Announcing My Travel Plans From The Bathtub,"Now that I’ve finalized my travel plans for the next month or so, I wanted to announce the destinations I’ll be visiting. And what better way to do so than from the bathtub… **(If you’re reading this post via email, pleaseclick hereto watch the video.)** Summary of the video: Have a great weekend everyone!","June 22nd, 2012",https://wanderingearl.com/video-announcing-my-travel-plans-from-the-bathtub/,Derek,wanderingearl.com,Travel
How I Can Afford My Life Of Constant Travel,"I’m confused. I’m simply confused as to how it’s possible that I have so far failed to properly explain how I’ve managed to travel/live/work abroad nonstop for 12 years straight (and counting). The questions are still pouring in every single day: How do you do it? How is it possible to travel for so long? Where does the money come from? And while I thoroughly enjoy communicating with readers (I’m being completely serious and encourage you all to continue sending your emails to me as often as you wish), the fact that these very questions are on the minds of so many of you out there has led me to believe that I need to do a better job at providing the answers. While it’s true that I’ve already writtenplenty of postson the matter, clearly all of these posts, even as one collective entity, still fall well short of proving...","June 24th, 2011",https://wanderingearl.com/how-i-can-afford-my-life-of-constant-travel/,Derek,wanderingearl.com,Travel
Cambodia: Sitting In A Puddle On A Train,"“Hello,” the young man shyly whispered after tapping me on the shoulder several times. “Hello,” I replied somewhat groggily. “Thank you,” he then said before turning around and victoriously running back to his group of friends who showered him with endless high-fives and pats on the back. My morning nap had been interrupted but I couldn’t help but smile. I glanced around and sure enough, I was still surrounded by the same 150 Cambodians as when I had fallen asleep. We were all waiting for the same train, the only train of the day. And the train was late. Five hours late so far. Not five hours late arriving at its destination, but five hours late in arriving at the station to begin the journey. Not one of the handful of staff at the train station could provide any details as to where the train might be, so I had...","February 9th, 2010",https://wanderingearl.com/cambodia-sitting-in-a-puddle-on-a-train/,Derek,wanderingearl.com,Travel
Why Have Travelers Stopped Talking To Each Other?,"Yesterday I received the following email from a close Australian friend of mine… “So I’ve just arrived at Broome Backpackers [a hostel in Broome, Australia], staying four nights in an 8-bed mixed dorm room. It’s 9pm and there have been five of us in the room for the past hour. The other four have been on their laptops or mobile phones. Nobody has spoken. At all. Not one word. I’ve been sitting here reading a book the entire time and now I just had to write you an email as I cast my mind back to our travels through India, Thailand and beyond several years ago, to a time when travelers actually conversed with each other.” Fellow travelers, or those just starting out, that’s a sad email. There indeed was a time when barely five seconds would pass between checking into a hostel dorm room and finding yourself talking with...","June 28th, 2012",https://wanderingearl.com/why-have-travelers-stopped-talking-to-each-other/,Derek,wanderingearl.com,Travel
"Philippines Travel: Costs, Islands, Weather, Internet & More","The Philippines, a captivating archipelago in Southeast Asia, beckons travelers with its stunning beaches, rich culture and warm hospitality. This tropical paradise is known for its pristine shores, vibrant coral reefs and lush landscapes that make it an ideal destination for both relaxation and adventure. In this comprehensive guide, we’ll explore the key aspects of traveling to the Philippines, from budget considerations to breathtaking beach destinations, accommodation options, staying connected withinternational eSIMsand the best time to visit. To embark on your Philippines adventure, it’s essential to plan your budget wisely. The cost of traveling in the Philippines can vary greatly depending on your preferences and choices. On average, a budget traveler can get by on $30-50 per day. This budget covers accommodation, local meals, local transportation and a few activities. If you spend $50 – $100 per day, you can really travel here without watching what you spend too much...","October 23rd, 2023",https://wanderingearl.com/philippines-travel-costs-islands-weather-internet/,Derek,wanderingearl.com,Travel
My Trip to Cuba: Day 1 (Walking 14km in Havana),"Less than five minutes after we walked onto the streets of Havana for the very first time, my friends and I were strolling along the sidewalk when a man clad in a bright yellow t-shirt, carrying two large canvas bags, called out to us. Before I knew it, I was helping this jolly fellow carry one of those heavy bags while engaging in some conversation with him. Suddenly, he stopped walking, we put the bags down and he pulled out a bottle of rum. He poured some into a plastic cup and handed it to me, and then he poured one for himself. We both said “Salud!”, he followed up with a “Bienvenidos a Cuba!” and we each threw back our shots. Then we simply shook hands, smiled and nodded to each other and went our own ways. My trip to Cuba had begun. Even though our flight landed in...","September 2nd, 2016",https://wanderingearl.com/my-trip-to-cuba-day-1/,Derek,wanderingearl.com,Travel
Most Scenic Villages in Germany,"Germany is already a world-famous destination among tourists and travelers. However, it has much more to offer than culture-packed big cities, wine-growing towns, and charming hamlets. Why not make a trip to explore some of the scenic villages in Germany this year? Depending on your country of origin and the purpose of your visit, you may need a visa to enter Germany.Check hereto see if you need a visa and how to apply for one well in advance of your trip. Germany is home to many charming and scenic villages worth visiting. There’s so much more to this beautiful country, apart fromthe bustling and diverse Berlin. Here are some of the most scenic villages in Germany: Rothenburg ob der Tauber– Rothenburg ob der Tauber is a medieval town in the heart of the Franconian region of Bavaria that is famous for its half-timbered houses, cobbled streets, and extensive gardens. The...","January 16th, 2023",https://wanderingearl.com/most-scenic-villages-in-germany/,Derek,wanderingearl.com,Travel
"A Chinese Bar, Shisha & Sexy, Sexy In Iraq","Upon arrival in the southern Kurdistan city of Sulamainiyah,Aniland I instantly found ourselves giddy with joy upon discovering two Chinese restaurants in the vicinity of our hotel. After all, up until that point, the only food we’d eaten were chicken and falafel sandwiches, not because of an abnormal love for such food, but because that was all we could find in other parts of the region. So as soon as evening approached and our hunger grew, we eagerly wandered over to the larger of the two Chinese restaurants we’d seen and prepared ourselves for a much needed feast of yummy Asian cuisine. Of course, had we taken a few minutes to properly think this plan through, we might have paused before deciding to enter this second floor restaurant. Truthfully, the sign out front prohibiting us from entering the establishment with any guns or knives should have acted as a clear...","December 27th, 2010",https://wanderingearl.com/a-chinese-bar-shisha-sexy-sexy-in-iraq/,Derek,wanderingearl.com,Travel
